"","Counterparty.country","X1977.Q4","X1978.Q4","X1979.Q4","X1980.Q4","X1981.Q4","X1982.Q4","X1983.Q4","X1984.Q4","X1985.Q4","X1986.Q4","X1987.Q4","X1988.Q4","X1989.Q4","X1990.Q4","X1991.Q4","X1992.Q4","X1993.Q4","X1994.Q4","X1995.Q4","X1996.Q4","X1997.Q4","X1998.Q4","X1999.Q4","X2000.Q4","X2001.Q4","X2002.Q4","X2003.Q4","X2004.Q4","X2005.Q4","X2006.Q4","X2007.Q4","X2008.Q4","X2009.Q4","X2010.Q4","X2011.Q4","X2012.Q4","X2013.Q4","X2014.Q4","X2015.Q4","X2016.Q4","X2017.Q4","X2018.Q4"
"12","Barbados",3.32719612121582,3.32719612121582,3.32719612121582,3.32719612121582,3.26397919654846,3.10404419898987,3.11956453323364,3.23186898231506,3.26741933822632,3.43405795097351,3.52334332466125,3.6466600894928,3.77794003486633,3.6532678604126,3.51079034805298,3.26503491401672,3.30421543121338,3.42977547645569,3.498370885849,3.6383056640625,3.80930590629578,3.95025014877319,3.96605134010315,4.05727052688599,3.95989608764648,3.99157524108887,4.07939004898071,4.13650131225586,4.30196142196655,4.54717350006104,4.6290225982666,4.63365125656128,4.44830513000488,4.46164989471436,4.49288129806519,4.50636005401611,4.50636005401611,4.50636005401611,4.54691696166992,4.63785552978516,4.71535682678223,4.71535682678223
"13","Belize",0.3299420773983,0.3299420773983,0.3299420773983,0.3299420773983,0.334200441837311,0.333254128694534,0.326235711574554,0.332623243331909,0.336171805858612,0.351549208164215,0.390978187322617,0.427095144987106,0.483005493879318,0.534342110157013,0.590432226657867,0.661495268344879,0.703014433383942,0.704124748706818,0.708659112453461,0.718783855438232,0.744266033172607,0.772108674049377,0.839902698993683,0.949415624141693,0.997035145759583,1.04806900024414,1.14581751823425,1.19910335540771,1.23002517223358,1.28639185428619,1.30059766769409,1.34258735179901,1.35216164588928,1.39711356163025,1.42650806903839,1.48073375225067,1.49129581451416,1.5516232252121,1.61050724983215,1.60267150402069,1.6168327331543,1.6168327331543
"14","Costa Rica",11.8642282485962,11.8642282485962,11.8642282485962,11.8642282485962,11.5959005355835,10.751072883606,11.0588760375977,11.7447147369385,11.8670253753662,12.5535259246826,13.41663646698,13.9290704727173,14.634672164917,15.2061433792114,15.5972337722778,17.0316429138184,18.2387638092041,19.057186126709,19.8426265716553,20.0882415771484,21.2061424255371,22.6824512481689,23.5769004821777,24.4573860168457,25.3110637664795,26.1442413330078,27.2568054199219,28.4388160705566,29.5396461486816,31.6776466369629,34.2650413513184,35.8582305908203,35.5102119445801,37.268627166748,38.8738250732422,40.7385711669922,41.6629409790039,43.1275367736816,44.6937942504883,46.5514297485352,48.0372619628906,48.0372619628906
"15","Dominica",0.192630529403687,0.192630529403687,0.192630529403687,0.192630529403687,0.215908706188202,0.224835276603699,0.230887159705162,0.243415996432304,0.246542826294899,0.263992488384247,0.283841282129288,0.30813530087471,0.307386040687561,0.32353886961937,0.325505763292313,0.332170039415359,0.337753623723984,0.342587977647781,0.349353104829788,0.35858228802681,0.363928079605103,0.382044732570648,0.384655237197876,0.386098921298981,0.387925565242767,0.38112461566925,0.410422444343567,0.423761785030365,0.423387855291367,0.435791790485382,0.463338196277618,0.496331304311752,0.490525424480438,0.493824392557144,0.492683619260788,0.487394630908966,0.484433054924011,0.505882203578949,0.493013918399811,0.506021857261658,0.484700471162796,0.484700471162796
"16","Dominican Republic",15.0169582366943,15.0169582366943,15.0169582366943,15.0169582366943,15.6596641540527,15.9256753921509,16.6627063751221,16.8714733123779,16.5133686065674,17.0949687957764,18.8245296478271,19.2303791046143,20.0766181945801,18.9815788269043,19.1607913970947,21.3108100891113,22.8802471160889,23.4752140045166,24.8098812103271,26.2929725646973,28.6291732788086,30.5514717102051,32.3662452697754,33.8750839233398,34.7082443237305,36.2684173583984,35.7803497314453,36.6999549865723,40.1601142883301,43.8445472717285,47.0960388183594,48.6075897216797,49.0674934387207,53.1595497131348,54.8252639770508,56.315071105957,59.060546875,63.5704307556152,68.0415725708008,72.5406188964844,75.842529296875,75.842529296875
"17","El Salvador",11.791069984436,11.791069984436,11.791069984436,11.791069984436,10.5587930679321,9.89297771453857,10.0448360443115,10.1791305541992,10.2418947219849,10.2612924575806,10.5192184448242,10.7167129516602,10.8198280334473,11.3425951004028,11.5120935440063,12.3200178146362,13.0369482040405,13.6483526229858,14.2945966720581,14.4114809036255,14.8632717132568,15.2577686309814,15.5874147415161,15.7629384994507,15.9012298583984,16.1526069641113,16.4049472808838,16.5510807037354,16.999195098877,17.7374534606934,18.0674724578857,18.4518089294434,18.0673847198486,18.4479236602783,19.151123046875,19.6900501251221,20.1577281951904,20.5567016601562,21.0454635620117,21.5885562896729,22.089973449707,22.089973449707
"18","Grenada",0.293959319591522,0.293959319591522,0.293959319591522,0.293959319591522,0.298469215631485,0.310778856277466,0.322068154811859,0.333561062812805,0.35350701212883,0.378939300775528,0.413412988185883,0.425678104162216,0.441716492176056,0.459440857172012,0.465806633234024,0.461841911077499,0.452795296907425,0.460463613271713,0.470269083976746,0.491140723228455,0.515773892402649,0.576341211795807,0.616157233715057,0.646274745464325,0.633194744586945,0.654959738254547,0.716944932937622,0.712303102016449,0.806847512722015,0.774632692337036,0.822062730789185,0.82986456155777,0.77497810125351,0.771015882492065,0.776912808418274,0.767937123775482,0.786001324653625,0.843718588352203,0.89803683757782,0.931118667125702,0.965852379798889,0.965852379798889
"19","Guatemala",18.2293319702148,18.2293319702148,18.2293319702148,18.2293319702148,18.3472499847412,17.6995754241943,17.2443256378174,17.3299789428711,17.2243804931641,17.2490196228027,17.8603229522705,18.5555152893066,19.2870845794678,19.8854789733887,20.6129398345947,21.6102638244629,22.458927154541,23.3648624420166,24.5210838317871,25.2463626861572,26.3481369018555,27.6638374328613,28.7280826568604,29.7648410797119,30.4591293334961,31.636869430542,32.4375305175781,33.4599876403809,34.5508193969727,36.4095764160156,38.7048606872559,39.9748229980469,40.1849594116211,41.3382301330566,43.0587043762207,44.3375587463379,45.9767951965332,47.8960494995117,49.8789672851562,51.4214706420898,52.8408699035645,52.8408699035645
"20","Haiti",6.97228479385376,6.97228479385376,6.97228479385376,6.97228479385376,6.77285289764404,6.52910327911377,6.59036684036255,6.60991907119751,6.64902305603027,6.6151328086853,6.56560039520264,6.77255344390869,6.57524013519287,6.64349937438965,6.76854181289673,6.40906476974487,6.06099271774292,5.33708763122559,5.86501693725586,6.10799503326416,6.27319860458374,6.41006994247437,6.5837984085083,6.6410813331604,6.57172346115112,6.55519819259644,6.57904577255249,6.34727334976196,6.46184206008911,6.6071834564209,6.82808017730713,6.88570499420166,7.09800815582275,6.70777463912964,7.07829427719116,7.28251028060913,7.59085559844971,7.80417013168335,7.89869546890259,8.01344013214111,8.10746002197266,8.10746002197266
"21","Honduras",6.02079296112061,6.02079296112061,6.02079296112061,6.02079296112061,6.17331218719482,6.08742761611938,6.03115892410278,6.29325437545776,6.55683040618896,6.60421514511108,7.00254154205322,7.32534837722778,7.64223194122314,7.64963579177856,7.89840412139893,8.3426342010498,8.86238288879395,8.74688243865967,9.10226631164551,9.42951583862305,9.90039920806885,10.1876678466797,9.99516773223877,10.5697050094604,10.8575382232666,11.2651672363281,11.777398109436,12.5114011764526,13.2684164047241,14.1397848129272,15.0148019790649,15.6501684188843,15.2696142196655,15.8393449783325,16.446891784668,17.1259326934814,17.6040134429932,18.1423587799072,18.8390407562256,19.5459098815918,20.4812393188477,20.4812393188477
